opcode         name                       target                     args                                                                                                                                                        kwargs
call_module    blocks_4_1_se_gate         blocks.4.1.se.gate         (blocks_4_1_se_conv_expand,)                                                                                                                                {}
call_function  mul_14                     <built-in function mul>    (blocks_4_1_act2, blocks_4_1_se_gate)                                                                                                                       {}
call_module    blocks_4_1_conv_pwl        blocks.4.1.conv_pwl        (mul_14,)                                                                                                                                                   {}
call_module    blocks_4_1_bn3             blocks.4.1.bn3             (blocks_4_1_conv_pwl,)                                                                                                                                      {}
call_function  add_9                      <built-in function add>    (blocks_4_1_bn3, blocks_4_0_bn3)                                                                                                                            {}
call_module    blocks_4_2_conv_pw         blocks.4.2.conv_pw         (add_9,)                                                                                                                                                    {}
call_module    blocks_4_2_bn1             blocks.4.2.bn1             (blocks_4_2_conv_pw,)                                                                                                                                       {}
call_module    blocks_4_2_act1            blocks.4.2.act1            (blocks_4_2_bn1,)                                                                                                                                           {}
call_module    blocks_4_2_conv_dw         blocks.4.2.conv_dw         (blocks_4_2_act1,)                                                                                                                                          {}
call_module    blocks_4_2_bn2             blocks.4.2.bn2             (blocks_4_2_conv_dw,)                                                                                                                                       {}
call_module    blocks_4_2_act2            blocks.4.2.act2            (blocks_4_2_bn2,)                                                                                                                                           {}
call_method    mean_15                    mean                       (blocks_4_2_act2, (2, 3))                                                                                                                                   {'keepdim': True}
call_module    blocks_4_2_se_conv_reduce  blocks.4.2.se.conv_reduce  (mean_15,)                                                                                                                                                  {}
call_module    blocks_4_2_se_act1         blocks.4.2.se.act1         (blocks_4_2_se_conv_reduce,)                                                                                                                                {}
call_module    blocks_4_2_se_conv_expand  blocks.4.2.se.conv_expand  (blocks_4_2_se_act1,)                                                                                                                                       {}
call_module    blocks_4_2_se_gate         blocks.4.2.se.gate         (blocks_4_2_se_conv_expand,)                                                                                                                                {}
call_function  mul_15                     <built-in function mul>    (blocks_4_2_act2, blocks_4_2_se_gate)                                                                                                                       {}
call_module    blocks_4_2_conv_pwl        blocks.4.2.conv_pwl        (mul_15,)                                                                                                                                                   {}
call_module    blocks_4_2_bn3             blocks.4.2.bn3             (blocks_4_2_conv_pwl,)                                                                                                                                      {}
call_function  add_10                     <built-in function add>    (blocks_4_2_bn3, add_9)                                                                                                                                     {}
call_module    blocks_4_3_conv_pw         blocks.4.3.conv_pw         (add_10,)                                                                                                                                                   {}
call_module    blocks_4_3_bn1             blocks.4.3.bn1             (blocks_4_3_conv_pw,)                                                                                                                                       {}
call_module    blocks_4_3_act1            blocks.4.3.act1            (blocks_4_3_bn1,)                                                                                                                                           {}
call_module    blocks_4_3_conv_dw         blocks.4.3.conv_dw         (blocks_4_3_act1,)                                                                                                                                          {}
